Title,Publication Date,Pages,Articles,Largeur,Hauteur,Mots Page 1,Blocs Page 1,Table Page 1,Publicite Page 1,Illustrations Page 1,Mots Page 2,Blocs Page 2,Table Page 2,Publicite Page 2,Illustrations Page 2,Mots Page 3,Blocs Page 3,Table Page 3,Publicite Page 3,Illustrations Page 3,Mots Page 4,Blocs Page 4,Table Page 4,Publicite Page 4,Illustrations Page 4,Mots Page 5,Blocs Page 5,Table Page 5,Publicite Page 5,Illustrations Page 5,Mots Page 6,Blocs Page 6,Table Page 6,Publicite Page 6,Illustrations Page 6
Le Gaulois,05.07.1868,4,57,447,621,4753,28,0,2,0,5674,42,0,0,0,6334,36,0,1,0,3720,27,0,13,0,,,,,,,,,,
Le Gaulois,06.07.1868,4,58,452,623,5528,45,0,2,0,6247,49,0,1,0,5949,53,0,0,0,3452,38,1,9,0,,,,,,,,,,
Le Gaulois,07.07.1868,4,55,450,621,5468,40,0,4,0,6003,51,0,1,0,5622,54,0,0,0,3904,51,0,13,0,,,,,,,,,,
Le Gaulois,08.07.1868,4,66,450,622,4940,33,0,3,0,6324,47,0,0,0,6643,53,0,0,0,4494,64,2,14,0,,,,,,,,,,
Le Gaulois,09.07.1868,4,59,447,623,4256,27,0,2,1,5805,46,0,0,0,5955,46,1,2,0,2886,39,0,12,0,,,,,,,,,,
Le Gaulois,10.07.1868,4,62,446,623,4972,34,0,2,0,6153,58,0,0,0,6588,53,0,0,0,3914,29,0,11,0,,,,,,,,,,
Le Gaulois,11.07.1868,4,72,446,626,4734,44,0,3,0,6207,53,0,1,0,6591,44,0,0,0,4378,55,0,10,0,,,,,,,,,,
Le Gaulois,12.07.1868,4,71,448,622,4737,33,0,2,0,5897,69,0,0,0,6156,39,0,1,0,3311,41,0,11,0,,,,,,,,,,
Le Gaulois,13.07.1868,4,64,447,623,4997,34,0,2,0,6127,68,0,0,0,6094,47,0,1,0,3249,54,0,24,0,,,,,,,,,,
Le Gaulois,14.07.1868,4,70,455,623,5249,36,0,2,0,7025,50,0,0,0,7211,35,0,1,0,3319,40,0,10,0,,,,,,,,,,
Le Gaulois,15.07.1868,4,77,453,623,4464,37,0,2,0,6839,62,0,0,0,6281,41,0,0,0,4092,47,0,10,0,,,,,,,,,,
Le Gaulois,16.07.1868,4,69,452,622,4940,39,0,2,0,6228,65,0,0,0,6241,49,0,0,0,4386,47,0,11,0,,,,,,,,,,
Le Gaulois,17.07.1868,4,76,453,625,4664,42,0,3,0,6109,67,0,0,0,6340,45,0,0,0,5001,45,0,9,0,,,,,,,,,,
Le Gaulois,18.07.1868,4,65,447,624,4902,44,0,3,0,6278,60,0,0,0,5716,50,0,0,0,4688,49,0,9,0,,,,,,,,,,
Le Gaulois,19.07.1868,4,71,455,622,4787,44,0,3,0,6427,60,0,0,0,6396,40,0,0,0,4346,55,0,11,0,,,,,,,,,,
Le Gaulois,20.07.1868,4,65,454,611,4903,40,0,3,0,6260,66,0,0,0,6092,51,0,0,0,4091,57,0,9,0,,,,,,,,,,
Le Gaulois,21.07.1868,4,77,459,614,4854,37,0,3,0,6660,59,0,0,0,6568,41,0,0,0,4289,60,0,9,0,,,,,,,,,,
Le Gaulois,22.07.1868,4,81,459,613,4493,53,0,2,0,6020,75,0,0,0,6290,38,0,0,0,5296,59,0,5,0,,,,,,,,,,
Le Gaulois,23.07.1868,4,94,454,621,4913,36,0,2,0,6175,57,0,0,0,6533,38,0,0,0,5476,57,0,6,0,,,,,,,,,,
Le Gaulois,24.07.1868,4,71,453,619,4711,53,0,3,0,6301,48,0,0,0,6546,38,0,0,0,4017,45,0,10,0,,,,,,,,,,
Le Gaulois,25.07.1868,4,76,457,622,4622,49,0,3,0,6228,55,0,0,0,7117,49,1,0,0,5469,38,0,8,0,,,,,,,,,,
Le Gaulois,26.07.1868,4,57,455,621,4810,37,0,2,0,5908,46,0,0,0,6331,45,0,0,0,4813,51,0,8,0,,,,,,,,,,
Le Gaulois,27.07.1868,4,68,452,600,4705,36,0,2,0,5710,68,0,0,0,6191,39,0,0,2,4996,62,0,7,0,,,,,,,,,,
Le Gaulois,28.07.1868,4,56,455,614,4732,32,0,3,0,5761,44,0,1,0,7003,45,0,0,0,1964,22,0,8,0,,,,,,,,,,
Le Gaulois,29.07.1868,4,78,453,612,4742,52,0,3,0,6260,41,0,1,0,6508,48,0,0,0,4533,48,0,8,0,,,,,,,,,,
Le Gaulois,30.07.1868,4,77,454,615,4665,33,0,2,0,6020,45,0,0,0,6562,37,0,0,0,5200,62,0,7,0,,,,,,,,,,
Le Gaulois,31.07.1868,4,59,450,622,4772,37,0,2,0,6084,43,0,0,0,6804,54,0,0,0,4887,45,0,7,0,,,,,,,,,,
Le Gaulois,01.08.1868,4,69,451,622,4664,32,0,2,0,5689,42,0,1,0,6011,55,0,0,0,4547,36,0,7,0,,,,,,,,,,
Le Gaulois,02.08.1868,4,53,452,624,4736,42,0,2,0,6315,34,0,1,0,6413,50,0,3,0,2618,31,0,3,0,,,,,,,,,,
Le Gaulois,03.08.1868,4,56,455,623,4758,28,0,3,0,5975,43,0,0,0,6439,55,0,0,0,4828,31,0,6,0,,,,,,,,,,
Le Gaulois,04.08.1868,4,59,450,622,4906,35,0,2,0,5907,48,1,0,0,6670,31,0,0,0,4146,28,0,2,0,,,,,,,,,,
Le Gaulois,05.08.1868,4,56,451,623,5171,29,0,3,0,6179,51,0,0,0,6572,40,0,1,0,2389,32,0,2,1,,,,,,,,,,
Le Gaulois,06.08.1868,4,78,451,623,4738,37,0,3,0,6061,44,0,0,0,5683,40,0,1,0,4893,30,0,5,0,,,,,,,,,,
Le Gaulois,07.08.1868,4,72,452,624,4454,39,0,3,0,6194,56,0,0,0,6110,37,0,1,0,5095,52,0,6,0,,,,,,,,,,
Le Gaulois,08.08.1868,4,91,451,627,4788,44,0,2,0,5779,45,0,0,0,5867,53,0,0,0,4887,48,0,5,0,,,,,,,,,,
Le Gaulois,09.08.1868,4,47,452,623,4345,37,0,2,0,5527,47,0,0,0,6187,37,0,0,0,3086,38,0,10,0,,,,,,,,,,
Le Gaulois,10.08.1868,4,60,451,622,4195,35,0,2,0,5594,37,0,0,0,5990,40,0,1,0,5617,47,0,6,0,,,,,,,,,,
Le Gaulois,11.08.1868,4,62,451,616,4384,39,0,2,0,6147,39,0,0,0,6080,32,0,0,0,4602,52,0,9,0,,,,,,,,,,
Le Gaulois,12.08.1868,4,71,449,625,3980,35,0,2,0,6151,42,0,0,0,5396,37,0,1,0,4626,43,0,5,0,,,,,,,,,,
Le Gaulois,13.08.1868,4,85,450,623,4261,28,0,2,0,5576,53,0,0,0,6180,36,0,1,0,4460,56,0,10,0,,,,,,,,,,
Le Gaulois,14.08.1868,4,84,450,624,4413,36,0,2,0,5300,44,0,0,0,5306,48,0,3,0,5062,54,0,7,0,,,,,,,,,,
Le Gaulois,15.08.1868,4,61,451,623,4078,37,0,2,0,4995,29,0,0,0,5670,36,0,2,5,4161,50,0,9,0,,,,,,,,,,
Le Gaulois,16.08.1868,4,44,451,624,4208,29,0,2,0,5001,30,0,0,0,6013,37,0,1,0,3522,32,0,8,0,,,,,,,,,,
Le Gaulois,17.08.1868,4,50,450,625,4198,41,0,2,0,5388,46,0,0,1,2990,20,0,5,0,2507,35,0,3,1,,,,,,,,,,
Le Gaulois,18.08.1868,4,84,453,627,4459,34,0,2,0,5891,35,1,0,0,6335,27,0,2,0,5999,37,0,7,0,,,,,,,,,,
Le Gaulois,19.08.1868,4,75,453,623,4352,32,0,2,0,5592,44,0,0,0,5635,40,0,2,0,3960,47,0,8,0,,,,,,,,,,
Le Gaulois,20.08.1868,4,58,452,623,3987,36,0,2,0,5388,47,0,0,0,5997,51,0,4,0,3891,57,0,17,0,,,,,,,,,,
Le Gaulois,21.08.1868,4,50,454,627,4352,47,0,2,0,5547,46,0,0,0,6093,50,0,0,0,4450,51,0,5,0,,,,,,,,,,
Le Gaulois,22.08.1868,4,64,448,614,3944,35,0,2,0,6100,48,0,0,0,5796,31,0,0,0,4552,52,0,7,0,,,,,,,,,,
Le Gaulois,23.08.1868,4,49,453,615,4350,52,0,2,0,6252,46,0,0,0,5796,34,0,2,0,4623,48,0,8,0,,,,,,,,,,
Le Gaulois,24.08.1868,4,59,450,625,4406,44,0,3,0,5879,41,0,0,0,6405,41,0,4,0,3128,22,0,8,0,,,,,,,,,,
Le Gaulois,25.08.1868,4,71,452,623,4396,40,0,3,0,5884,44,0,0,0,6109,22,0,0,0,4189,32,0,5,0,,,,,,,,,,
Le Gaulois,26.08.1868,4,57,450,608,4022,39,1,2,11,5751,56,0,0,1,6517,36,0,1,0,3756,52,0,8,0,,,,,,,,,,
Le Gaulois,27.08.1868,4,66,452,611,4046,36,0,2,0,5902,55,0,0,0,6121,40,0,0,0,3745,50,0,9,0,,,,,,,,,,
Le Gaulois,28.08.1868,4,54,455,626,4319,34,0,2,0,5798,57,0,0,0,6023,41,0,1,0,3750,45,0,8,0,,,,,,,,,,
Le Gaulois,29.08.1868,4,55,453,620,4302,41,0,2,0,5666,48,0,0,0,6702,35,0,1,0,3852,48,0,11,0,,,,,,,,,,
Le Gaulois,30.08.1868,4,43,454,626,4218,28,0,2,0,4919,51,0,0,0,5971,48,0,1,0,3732,19,1,13,0,,,,,,,,,,
Le Gaulois,31.08.1868,4,57,448,620,3916,37,0,2,0,5085,49,0,0,0,5962,46,0,2,0,2734,43,0,9,1,,,,,,,,,,
Le Gaulois,01.09.1868,4,50,450,622,4410,35,0,3,0,5449,46,0,0,0,5964,47,0,2,0,1960,31,0,1,0,,,,,,,,,,
Le Gaulois,02.09.1868,4,68,450,623,4106,37,0,2,0,5551,50,0,0,0,6068,29,0,1,0,4518,53,0,12,0,,,,,,,,,,
Le Gaulois,03.09.1868,4,56,450,623,4460,35,0,2,0,5775,49,1,0,0,5931,50,0,3,0,3114,35,0,5,0,,,,,,,,,,
Le Gaulois,04.09.1868,4,81,454,624,4198,34,0,2,0,5799,49,0,0,0,5806,48,0,1,0,4402,53,0,9,0,,,,,,,,,,
Le Gaulois,05.09.1868,4,55,448,623,3929,34,0,2,0,5533,51,0,0,0,6205,32,0,1,0,5099,57,0,14,0,,,,,,,,,,
Le Gaulois,06.09.1868,4,68,455,628,3608,32,0,2,0,5038,57,0,0,0,5528,48,0,1,0,4167,54,0,13,0,,,,,,,,,,
Le Gaulois,07.09.1868,4,70,450,623,3976,35,0,2,0,5129,48,0,0,0,5822,34,0,1,0,3825,30,0,9,0,,,,,,,,,,
Le Gaulois,08.09.1868,4,53,451,626,4202,30,0,2,0,5613,50,0,0,0,5869,41,0,1,0,4263,30,0,7,0,,,,,,,,,,
Le Gaulois,09.09.1868,4,74,457,624,4130,40,0,2,0,4932,46,0,1,0,5900,49,0,2,0,4266,37,0,8,0,,,,,,,,,,
Le Gaulois,10.09.1868,4,64,454,623,4239,36,0,2,0,4882,47,0,0,0,5681,50,0,0,0,4234,57,0,11,0,,,,,,,,,,
Le Gaulois,11.09.1868,4,65,454,624,4331,34,0,2,0,5694,40,0,0,0,5583,51,1,2,0,3046,47,0,11,0,,,,,,,,,,
Le Gaulois,12.09.1868,4,62,455,623,4257,30,0,2,0,5219,58,0,0,0,5868,34,0,0,0,4062,53,0,9,0,,,,,,,,,,
Le Gaulois,13.09.1868,4,44,454,623,4461,31,0,2,0,4922,49,0,1,0,5677,48,0,1,0,2899,40,0,9,0,,,,,,,,,,
Le Gaulois,14.09.1868,4,62,456,624,3938,37,0,2,0,5649,54,0,0,0,5709,46,1,0,0,4085,31,1,8,0,,,,,,,,,,
Le Gaulois,15.09.1868,4,45,452,627,3991,39,0,2,0,5289,53,0,0,0,3871,39,1,6,0,3893,4,0,1,0,,,,,,,,,,
Le Gaulois,16.09.1868,4,73,453,625,4323,29,0,2,0,5356,50,0,0,0,5778,44,0,1,0,4282,31,0,7,0,,,,,,,,,,
Le Gaulois,17.09.1868,4,45,450,623,3931,38,0,3,0,5606,50,0,0,0,6487,42,0,1,0,2910,39,0,9,0,,,,,,,,,,
Le Gaulois,18.09.1868,4,46,456,627,4317,41,0,2,0,5248,48,0,0,0,6025,41,0,0,0,3137,12,0,10,0,,,,,,,,,,
Le Gaulois,19.09.1868,4,58,454,625,4205,34,0,2,0,5078,42,0,0,0,5778,55,0,1,0,4516,29,4,9,0,,,,,,,,,,
Le Gaulois,20.09.1868,4,52,454,624,4146,39,0,2,0,5196,60,0,0,0,4926,38,4,6,0,2113,10,0,1,0,,,,,,,,,,
Le Gaulois,21.09.1868,4,82,454,624,4246,35,0,2,0,5853,47,0,0,0,5941,57,0,0,0,4500,40,0,8,0,,,,,,,,,,
Le Gaulois,22.09.1868,4,90,455,625,4600,33,0,2,0,5686,41,0,0,0,6137,49,0,1,0,4488,54,0,8,0,,,,,,,,,,
Le Gaulois,23.09.1868,4,66,452,623,4092,39,0,2,0,5456,50,0,0,0,5582,45,4,0,0,3665,51,0,8,0,,,,,,,,,,
Le Gaulois,24.09.1868,4,54,456,627,4675,33,0,3,0,5148,45,0,0,0,5875,51,0,0,0,4161,29,1,13,0,,,,,,,,,,
Le Gaulois,25.09.1868,4,57,452,623,3884,55,0,2,0,5488,48,0,1,0,5199,47,1,9,0,2151,4,0,1,0,,,,,,,,,,
Le Gaulois,26.09.1868,4,49,455,623,4141,45,0,2,0,5071,47,1,0,0,4734,38,2,6,0,1949,4,0,1,0,,,,,,,,,,
Le Gaulois,27.09.1868,4,50,451,625,4250,37,0,2,0,5543,41,0,0,0,4207,29,1,4,0,1974,3,0,1,0,,,,,,,,,,
Le Gaulois,28.09.1868,4,49,453,623,4319,48,0,2,0,5435,58,0,0,0,5243,45,0,2,0,2714,4,0,1,0,,,,,,,,,,
Le Gaulois,29.09.1868,4,66,450,626,4897,38,0,0,0,5479,46,0,0,0,5928,41,1,1,0,3173,29,0,5,0,,,,,,,,,,
Le Gaulois,30.09.1868,4,53,452,619,3698,42,0,2,1,5533,51,0,0,0,6254,40,0,0,0,3172,29,0,9,0,,,,,,,,,,
Le Gaulois,01.10.1868,4,50,452,623,3794,39,0,3,0,5638,54,0,0,0,5339,42,0,5,0,2802,25,0,6,0,,,,,,,,,,
Le Gaulois,02.10.1868,4,55,452,622,4224,36,0,2,0,5327,53,0,1,0,5554,35,4,3,0,1987,8,0,7,0,,,,,,,,,,
Le Gaulois,03.10.1868,4,63,449,626,4396,36,0,2,0,5653,54,0,0,0,5859,54,0,3,0,2950,37,0,7,1,,,,,,,,,,
Le Gaulois,04.10.1868,4,39,449,622,4395,31,0,3,0,5352,53,0,5,0,5115,73,0,13,0,2873,1,0,1,0,,,,,,,,,,
Le Gaulois,05.10.1868,4,72,451,623,4231,42,0,3,0,5730,52,0,0,0,6009,53,0,9,0,1267,5,0,5,0,,,,,,,,,,
Le Gaulois,06.10.1868,4,33,453,622,5050,49,0,2,0,5679,57,0,4,2,3605,25,0,12,0,2790,2,0,2,0,,,,,,,,,,
Le Gaulois,07.10.1868,4,62,453,623,4349,36,0,2,0,5684,56,0,0,0,5912,48,1,4,0,4771,28,2,10,0,,,,,,,,,,
Le Gaulois,08.10.1868,4,47,452,623,4776,37,0,2,0,5815,49,0,5,0,5274,36,1,9,0,4258,2,0,2,0,,,,,,,,,,
Le Gaulois,09.10.1868,4,38,453,623,4492,41,0,2,0,5742,51,0,0,0,4444,44,1,11,0,449,1,0,1,0,,,,,,,,,,
Le Gaulois,10.10.1868,4,47,451,623,4183,31,0,2,0,5698,64,0,0,0,4947,46,0,10,0,2867,1,0,1,0,,,,,,,,,,
Le Gaulois,11.10.1868,4,35,455,627,5239,43,0,2,0,5957,54,0,2,0,1611,16,0,0,2,3950,1,0,1,0,,,,,,,,,,
Le Gaulois,12.10.1868,4,48,452,628,4529,47,0,2,0,5877,41,0,0,0,5674,44,0,4,0,3649,8,0,7,0,,,,,,,,,,
Le Gaulois,13.10.1868,4,45,455,623,4220,34,0,2,0,5631,51,0,0,0,5738,42,0,1,0,3198,46,0,10,0,,,,,,,,,,
